source	target	depth
machine learning	automated machine learning	1
machine learning	big data	1
machine learning	explanation-based learning	1
machine learning	predictive analytics	1
machine learning	quantum machine learning	1
machine learning	machine learning in bioinformatics	1
quantum machine learning	quantum computing	2
quantum machine learning	quantum algorithm for linear systems of equations	2
quantum machine learning	quantum annealing	2
quantum machine learning	quantum neural network	2
quantum machine learning	quantum image	2
predictive analytics	actuarial science	2
predictive analytics	algorithmic trading	2
predictive analytics	computational sociology	2
predictive analytics	criminal reduction utilising statistical history	2
predictive analytics	disease surveillance	2
predictive analytics	learning analytics	2
predictive analytics	odds algorithm	2
predictive analytics	pattern recognition	2
predictive analytics	predictive inference	2
predictive analytics	predictive policing	2
predictive analytics	social media analytics	2
explanation-based learning	one-shot learning	2
big data	big data ethics	2
big data	big data maturity model	2
big data	big memory	2
big data	data curation	2
big data	data defined storage	2
big data	data lineage	2
big data	data philanthropy	2
big data	data science	2
big data	datafication	2
big data	in-memory processing	2
big data	urban informatics	2
big data	very large database	2
big data	xldb	2
big data	data analysis	2
automated machine learning	neural architecture search	2
automated machine learning	hyperparameter optimization	2
automated machine learning	model selection	2
automated machine learning	neuroevolution	2
automated machine learning	self-tuning	2
natural language processing	1 the road	1
natural language processing	automated essay scoring	1
natural language processing	biomedical text mining	1
natural language processing	compound term processing	1
natural language processing	computational linguistics	1
natural language processing	computer-assisted reviewing	1
natural language processing	controlled natural language	1
natural language processing	deep learning	1
natural language processing	deep linguistic processing	1
natural language processing	distributional semantics	1
natural language processing	foreign language reading aid	1
natural language processing	foreign language writing aid	1
natural language processing	information extraction	1
natural language processing	information retrieval	1
natural language processing	language and communication technologies	1
natural language processing	language technology	1
natural language processing	latent semantic indexing	1
natural language processing	native-language identification	1
natural language processing	natural language programming	1
natural language processing	natural language user interface	1
natural language processing	query expansion	1
natural language processing	reification (linguistics)	1
natural language processing	speech processing	1
natural language processing	spoken dialogue system	1
natural language processing	text-proofing	1
natural language processing	text simplification	1
natural language processing	transformer (machine learning model)	1
natural language processing	truecasing	1
natural language processing	question answering	1
natural language processing	word2vec	1
artificial intelligence	abductive reasoning	1
artificial intelligence	a.i. rising	1
artificial intelligence	artificial intelligence arms race	1
artificial intelligence	behavior selection algorithm	1
artificial intelligence	business process automation	1
artificial intelligence	case-based reasoning	1
artificial intelligence	citizen science	1
artificial intelligence	commonsense reasoning	1
artificial intelligence	emergent algorithm	1
artificial intelligence	evolutionary computation	1
artificial intelligence	glossary of artificial intelligence	1
artificial intelligence	machine learning	1
artificial intelligence	mathematical optimization	1
artificial intelligence	multi-agent system	1
artificial intelligence	personality computing	1
artificial intelligence	robotic process automation	1
artificial intelligence	soft computing	1
artificial intelligence	universal basic income	1
artificial intelligence	weak ai	1
weak ai	deep learning	2
weak ai	expert system	2
weak ai	history of artificial intelligence	2
weak ai	intelligent personal assistant	2
weak ai	machine learning	2
weak ai	philosophy of artificial intelligence	2
weak ai	strong artificial intelligence	2
universal basic income	automation and the future of jobs	2
universal basic income	basic income around the world	2
universal basic income	basic income pilots	2
universal basic income	cash transfers	2
universal basic income	citizen's dividend	2
universal basic income	economic, social and cultural rights	2
universal basic income	equality of outcome	2
universal basic income	fairtax	2
universal basic income	geolibertarianism	2
universal basic income	givedirectly	2
universal basic income	global basic income	2
universal basic income	guaranteed minimum income	2
universal basic income	involuntary unemployment	2
universal basic income	job guarantee	2
universal basic income	left-libertarianism	2
universal basic income	living wage	2
universal basic income	mincome	2
universal basic income	minimum wage	2
universal basic income	negative income tax	2
universal basic income	economy of cuba	2
universal basic income	old age security	2
universal basic income	quatinga velho	2
universal basic income	post-scarcity economy	2
universal basic income	redistribution of income and wealth	2
universal basic income	refusal of work	2
universal basic income	right to adequate standard of living	2
universal basic income	social dividend	2
universal basic income	social safety net	2
universal basic income	speenhamland system	2
universal basic income	the triple revolution	2
universal basic income	unemployment benefits	2
universal basic income	universal basic services	2
universal basic income	universal credit	2
universal basic income	welfare capitalism	2
universal basic income	working time	2
universal basic income	work–life balance	2
multi-agent system	comparison of agent-based modeling software	2
multi-agent system	agent-based computational economics	2
multi-agent system	artificial brain	2
multi-agent system	artificial intelligence	2
multi-agent system	artificial life	2
multi-agent system	artificial life framework	2
multi-agent system	black box	2
multi-agent system	blackboard system	2
multi-agent system	complex systems	2
multi-agent system	discrete event simulation	2
multi-agent system	distributed artificial intelligence	2
multi-agent system	emergence	2
multi-agent system	evolutionary computation	2
multi-agent system	game theory	2
multi-agent system	human-based genetic algorithm	2
multi-agent system	knowledge query and manipulation language	2
multi-agent system	microbial intelligence	2
multi-agent system	multi-agent planning	2
multi-agent system	pattern-oriented modeling	2
multi-agent system	platbox project	2
multi-agent system	reinforcement learning	2
multi-agent system	scientific community metaphor	2
multi-agent system	self-reconfiguring modular robot	2
multi-agent system	simulated reality	2
multi-agent system	social simulation	2
multi-agent system	software agent	2
multi-agent system	swarm intelligence	2
multi-agent system	swarm robotics	2
mathematical optimization	brachistochrone	2
mathematical optimization	curve fitting	2
mathematical optimization	deterministic global optimization	2
mathematical optimization	goal programming	2
mathematical optimization	least squares	2
mathematical optimization	mathematical optimization society	2
mathematical optimization	process optimization	2
mathematical optimization	simulation-based optimization	2
mathematical optimization	test functions for optimization	2
mathematical optimization	variational calculus	2
mathematical optimization	vehicle routing problem	2
glossary of artificial intelligence	artificial intelligence	2
glossary of artificial intelligence	glossary of machine vision	2
evolutionary computation	adaptive dimensional search	2
evolutionary computation	artificial development	2
evolutionary computation	autoconstructive	2
evolutionary computation	developmental biology	2
evolutionary computation	digital organism	2
evolutionary computation	estimation of distribution algorithm	2
evolutionary computation	evolutionary robotics	2
evolutionary computation	evolved antenna	2
evolutionary computation	fitness approximation	2
evolutionary computation	fitness function	2
evolutionary computation	fitness landscape	2
evolutionary computation	genetic operators	2
evolutionary computation	grammatical evolution	2
evolutionary computation	human-based evolutionary computation	2
evolutionary computation	inferential programming	2
evolutionary computation	interactive evolutionary computation	2
evolutionary computation	mutation testing	2
evolutionary computation	no free lunch in search and optimization	2
evolutionary computation	program synthesis	2
evolutionary computation	test functions for optimization	2
